name,adresse,telefon,website,hat_website,score,probleme,empfehlung,types
𝗡𝗔𝗡𝗔 𝖬𝖺𝗂𝗇𝗓┃𝗠𝗮𝗻𝘁𝗶 & 𝗠𝗼𝗿𝗲,"Nana Mainz, Steingasse 21, 55116 Mainz, Deutschland",,,False,0,keine Website,Keine Website,"restaurant,food,point_of_interest,establishment"
Steakhaus El Chico,"Kötherhofstraße 1, 55116 Mainz, Deutschland",06131 238440,,False,0,keine Website,Keine Website,"steak_house,restaurant,food,point_of_interest,establishment"
My Restaurant Döner & Grill,"Hopfengarten 21, 55116 Mainz, Deutschland",06131 6063787,,False,0,keine Website,Keine Website,"restaurant,turkish_restaurant,food,point_of_interest,establishment"
Orientalisches Bistro,"Flachsmarktstraße 22, 55116 Mainz, Deutschland",0172 6685421,,False,0,keine Website,Keine Website,"middle_eastern_restaurant,bistro,restaurant,food,point_of_interest,establishment"
Bistro Tornado,"Nestlestraße 63, 55120 Mainz, Deutschland",06131 5868570,,False,0,keine Website,Keine Website,"bistro,restaurant,food,point_of_interest,establishment"
Bistro Bagdad - Mainz,"Binger Straße 15 Bingerstr, Binger Str. 15 15, 55116 Mainz, Deutschland",0179 1100308,,False,0,keine Website,Keine Website,"bar,point_of_interest,establishment"
Caffe Moonlight,"Adam-Karrillon-Straße 23, 55118 Mainz, Deutschland",0176 83057358,,False,0,keine Website,Keine Website,"bar,point_of_interest,establishment"
City Bistro one,"Hintere Bleiche 1, 55116 Mainz, Deutschland",,,False,0,keine Website,Keine Website,"bar,point_of_interest,establishment"
PANINO,"Fischtorstraße 7, 55116 Mainz, Deutschland",06131 6061511,,False,0,keine Website,Keine Website,"bistro,restaurant,food,point_of_interest,establishment"
Bistro Taverna Amfipolis,"Körnerstraße 1, 55120 Mainz, Deutschland",06131 687327,,False,0,keine Website,Keine Website,"bistro,restaurant,food,point_of_interest,establishment"
Malibu Bar& Bistro,"Am Lemmchen 31C, 55120 Mainz, Deutschland",06131 5764764,,False,0,keine Website,Keine Website,"sports_bar,bar,point_of_interest,establishment"
Bistro Ei,"Hintere Bleiche 43, 55116 Mainz, Deutschland",,,False,0,keine Website,Keine Website,"bistro,restaurant,food,point_of_interest,establishment"
Pane e Vino,"Holzhofstraße 14a, 55116 Mainz, Deutschland",06131 8893314,,False,0,keine Website,Keine Website,"italian_restaurant,wine_bar,bar,restaurant,food,point_of_interest,establishment"
INAS,"Bernhard-Winter-Straße 1, 55120 Mainz, Deutschland",06131 4928696,,False,0,keine Website,Keine Website,"bar,bistro,lounge_bar,german_restaurant,european_restaurant,night_club,restaurant,food,point_of_interest,establishment"
Bistro Am Main,"Mainpfortstraße 3, 55246 Wiesbaden, Deutschland",,,False,0,keine Website,Keine Website,"restaurant,food,point_of_interest,establishment"
Gaststätte 8 Uhr Stübchen,"Frauenlobstraße 59, 55118 Mainz, Deutschland",,,False,0,keine Website,Keine Website,"pub,bar,restaurant,food,point_of_interest,establishment"
Piccola Salumeria Stella,"Markt 5, 55116 Mainz, Deutschland",06131 8898743,,False,0,keine Website,Keine Website,"deli,food_store,food,store,point_of_interest,establishment"
Marsico,"Hintere Bleiche 17, 55116 Mainz, Deutschland",06131 2106941,,False,0,keine Website,Keine Website,"grocery_store,food_store,food,store,point_of_interest,establishment"
CREMINA,"Kurfürstenstraße 12, 55118 Mainz, Deutschland",06131 8949179,,False,0,keine Website,Keine Website,"pizza_restaurant,coffee_shop,fast_food_restaurant,catering_service,cafe,food_delivery,italian_restaurant,dessert_shop,confectionery,food_store,service,store,restaurant,point_of_interest,food,establishment"
Ristorante Roseto,"Daniel-Brendel-Straße 37, 55127 Mainz-Drais, Deutschland",06131 85000,,False,0,keine Website,Keine Website,"italian_restaurant,restaurant,point_of_interest,food,establishment"
